97069	      3.0735	1.0000
115884	     15.6005	0.7970
116796	     15.6351	0.7973
119287	     15.6133	0.7934
120065	     15.6642	0.7937
136740	     23.9320	0.7260
137511	     23.9306	0.7262
138937	     23.9278	0.7249
139715	     23.9253	0.7251
154161	     28.3376	0.6932
154927	     28.3154	0.6934
156130	     28.2837	0.6930
156759	     28.2868	0.6932
162947	     31.3010	0.6858
163576	     31.2923	0.6860
164709	     31.2482	0.6861
165338	     31.2398	0.6863
166926	     34.2793	0.6879
167555	     34.2596	0.6881
168576	     34.2194	0.6881
169205	     34.2002	0.6883
170785	     37.1439	0.6894
171414	     37.1141	0.6896
172235	     37.1011	0.6896
172864	     37.0717	0.6898
174373	     39.9430	0.6907
175008	     39.9025	0.6909
175869	     39.8677	0.6909
176504	     39.8278	0.6911
177833	     42.6587	0.6918
178468	     42.6093	0.6920
179164	     42.5736	0.6921
179793	     42.5262	0.6923
