97069	      3.0735	1.0000
116828	     15.4744	0.8402
117740	     15.5097	0.8404
120411	     15.4676	0.8369
121189	     15.5190	0.8371
138693	     23.5796	0.7810
139471	     23.5791	0.7810
140977	     23.5922	0.7791
141755	     23.5915	0.7793
158257	     28.2755	0.7529
159035	     28.2521	0.7531
160256	     28.2246	0.7525
160885	     28.2277	0.7527
172557	     30.9106	0.7423
173186	     30.9038	0.7425
174298	     30.8669	0.7423
174927	     30.8603	0.7424
176944	     33.7045	0.7428
177573	     33.6879	0.7429
178575	     33.6567	0.7429
179210	     33.6394	0.7430
181101	     36.3854	0.7433
181730	     36.3599	0.7435
182576	     36.3459	0.7435
183205	     36.3208	0.7436
185068	     38.9699	0.7444
185697	     38.9363	0.7445
186513	     38.8907	0.7446
187141	     38.8577	0.7447
188863	     41.4531	0.7453
189492	     41.4119	0.7454
190308	     41.3566	0.7455
190930	     41.3175	0.7457
