kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 128 : 129 967 0 0 0 0 0 0 0 
_1.ptx 328 : 1677 12123 0 0 0 0 0 0 0 
_1.ptx 329 : 1677 12137 0 0 0 0 0 0 0 
_1.ptx 330 : 1677 21003 0 0 0 0 0 0 0 
_1.ptx 131 : 1761 14055 0 0 0 0 0 0 0 
_1.ptx 331 : 1677 18607 0 0 0 0 0 0 0 
_1.ptx 132 : 1761 15727 0 0 0 0 0 0 0 
_1.ptx 332 : 1677 371170 0 0 0 107 55 0 0 
_1.ptx 133 : 1761 0 0 0 0 0 0 0 0 
_1.ptx 333 : 1677 16830 0 0 0 0 0 0 0 
_1.ptx 134 : 1761 19940 0 0 0 0 0 0 0 
_1.ptx 334 : 1677 63966 0 0 0 0 0 0 0 
_1.ptx 135 : 1761 10002 0 0 0 0 0 0 0 
_1.ptx 335 : 1677 18479 0 0 0 0 0 0 0 
_1.ptx 136 : 1761 12832 0 0 0 0 0 0 0 
_1.ptx 336 : 1677 60314 0 0 0 0 0 0 0 
_1.ptx 137 : 1761 19107 0 0 0 0 0 0 0 
_1.ptx 337 : 1677 18511 0 0 0 0 0 0 0 
_1.ptx 138 : 1761 19684 0 0 0 0 0 0 0 
_1.ptx 338 : 1677 307764 0 0 0 1007 55 0 0 
_1.ptx 139 : 1761 12583 0 0 0 0 0 0 0 
_1.ptx 339 : 1677 343358 0 0 0 1007 55 0 0 
_1.ptx 140 : 1761 5539 0 0 0 0 0 0 0 
_1.ptx 340 : 1677 13416 0 0 0 0 0 0 0 
_1.ptx 141 : 1761 5514 0 0 0 0 0 0 0 
_1.ptx 341 : 1677 174 0 0 0 0 0 0 11 
_1.ptx 142 : 1761 5539 0 0 0 0 0 0 0 
_1.ptx 143 : 1761 10694 0 0 0 0 0 0 0 
_1.ptx 343 : 1648 317054 0 0 0 998 55 0 0 
_1.ptx 144 : 1761 10694 0 0 0 0 0 0 0 
_1.ptx 145 : 1761 12455 0 0 0 0 0 0 0 
_1.ptx 346 : 2346 14076 0 0 0 0 0 0 0 
_1.ptx 149 : 53665 1005063 128 0 0 1715 1715 0 0 
_1.ptx 151 : 53665 558196 0 0 0 0 0 0 0 
_1.ptx 153 : 53665 292611 0 0 0 0 0 0 0 
_1.ptx 155 : 53665 594891 0 0 0 0 0 0 0 
_1.ptx 156 : 53665 1989005 0 0 0 1715 1715 0 0 
_1.ptx 158 : 53665 553649 0 0 0 0 0 0 0 
_1.ptx 160 : 53665 323754 0 0 0 0 0 0 0 
_1.ptx 162 : 53665 595243 0 0 0 0 0 0 0 
_1.ptx 163 : 53665 4002474 7424 0 0 1715 1715 0 0 
_1.ptx 165 : 53665 3958154 640 0 0 1715 1715 0 0 
_1.ptx 166 : 53665 595595 0 0 0 0 0 0 0 
_1.ptx 167 : 53665 439503 0 0 0 0 0 0 0 
_1.ptx 168 : 53665 137546 0 0 0 0 0 0 991 
_1.ptx 169 : 31475 349677 0 0 0 0 0 0 0 
_1.ptx 170 : 31475 319464 0 0 0 0 0 0 0 
_1.ptx 171 : 31475 229819 0 0 0 0 0 0 0 
_1.ptx 172 : 31475 197491 0 0 0 0 0 0 0 
_1.ptx 173 : 31475 257345 0 0 0 0 0 0 0 
_1.ptx 174 : 31475 348921 0 0 0 0 0 0 0 
